fund_name,start_nav,end_nav,total_return_%,growth_multiple,rank
Axis_Bluechip,24.0092,6156.7532,25543.30839844726,256.4330839844726,1.0
HDFC_Top100_NAV,12.7957,192.3195,1403.0010081511757,15.030010081511758,2.0
ICICI_Bluechip,15.0913,103.0948,583.1406174418373,6.831406174418373,4.0
Kotak_Bluechip,30.6784,246.9814,705.0661051423803,8.050661051423804,3.0
Nippon_LargeCap,14.7718,97.1944,557.9726235123682,6.579726235123681,5.0
SBI_Bluechip,103.1408,104.7025,1.5141437723965705,1.0151414377239658,6.0
